manager,total_value,avg_portfolio_pct,position_count,avg_position_value,position_value_std,concentration_ratio,top_holding,top_holding_value,top_holding_pct,diversification_score,first_year,years_active,_analysis_type,_generated,_periods,_window_quarters
David Rolfe,484286000,4.55,22,22013000.0,10749406.499674208,0.4883208331292512,GOOGL,44773000,9.25,41.18194421002215,2017.0,9.0,manager_performance,2026-08-01,Q2 2026,1
Arnold Van Den Berg,436149000,0.75,133,3279315.789473684,5127243.256826525,1.563510069168857,PHYS,29591000,6.78,77.86870417924538,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Mohnish Pabrai,422885000,33.33,3,140961666.66666666,25333730.979335304,0.1797207111578938,HCC,168679000,39.89,29.66274766506816,2009.0,17.0,manager_performance,2026-08-01,Q2 2026,1
Bill Miller,383178000,1.82,55,6966872.727272728,7586357.670563912,1.088918653683184,NBR,38248000,9.98,48.367497489193255,2021.0,5.0,manager_performance,2026-08-01,Q2 2026,1
Robert Vinall,382627000,7.69,13,29432846.153846152,37190478.07760779,1.2635705661359529,CVNA,118818000,31.05,24.138397286929628,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Muhlenkamp,379789000,3.45,29,13096172.413793104,7822180.42340847,0.5972875261759704,AEM,28131000,7.41,43.15884078218048,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Josh Tarasoff,344295000,11.11,9,38255000.0,15807036.542312412,0.4132018440024156,AMZN,65091000,18.91,34.15539007557134,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Glenn Welling,303414000,12.5,8,37926750.0,25694751.413747627,0.6774836075790208,VFC,79496000,26.2,28.223930349278717,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Norbert Lou,270645000,20.0,5,54129000.0,29073976.688784767,0.5371238465293053,BRK.A,104130000,38.47,24.97597000065248,2020.0,6.0,manager_performance,2026-08-01,Q2 2026,1
Dennis Hong,267609000,8.33,12,22300750.0,12395232.398166057,0.5558213243126826,OKTA,44474000,16.62,34.09641985836846,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Bryan Lawrence,226635000,12.5,8,28329375.0,19406495.539509445,0.6850308395264437,IBKR,69132000,30.5,26.853828450066292,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
Francis Chou,207813000,3.33,30,6927100.0,11810990.32418243,1.7050411173770308,BRK.A,61760000,29.72,29.17440443314584,2013.0,13.0,manager_performance,2026-08-01,Q2 2026,1
Alex Roepers,171657000,8.33,12,14304750.0,9600206.599339413,0.671120194294861,KEX,34150000,19.89,31.78503008282637,2012.0,14.0,manager_performance,2026-08-01,Q2 2026,1
Guy Spier - Aquamarine Capital,144091000,14.29,7,20584428.57142857,13845296.841131562,0.6726102108245549,BRK.B,48838000,33.89,25.569037820318428,2015.0,11.0,manager_performance,2026-08-01,Q2 2026,1
Hillman Capital Management,144006000,1.79,56,2571535.714285714,1791429.5557589622,0.6966380228775321,BIIB,5416000,3.76,53.954027395047646,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Michael Burry,55001000,33.33,3,18333666.666666668,5336580.959128545,0.291080941753525,MOH,23920000,43.49,26.389343307224788,2019.0,7.0,manager_performance,2026-08-01,Q2 2026,1
