ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
FICO,Valley Forge Capital Management,821303000,24.33,"Reduce, Add",Reduce 0.01%; Add 0.13%,"Q1 2026, Q4 2025",Reduced,24.33,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SLM,Michael Burry,13288000,24.16,,,,Maintained,24.16,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SUNB,Pat Dorsey,143523000,11.43,Buy,Buy,Q1 2026,New High Conviction,22.86,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Li Lu,731351000,22.85,,,,Maintained,22.85,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SGOV,Josh Tarasoff,38553000,11.2,Buy,Buy,Q1 2026,New High Conviction,22.4,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,Valley Forge Capital Management,747779000,22.15,"Reduce, Add",Reduce 0.01%; Add 0.18%,"Q1 2026, Q4 2025",Reduced,22.15,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Warren Buffett,57843261000,21.99,Reduce,Reduce 4.32%,Q4 2025,Reduced,21.99,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Li Lu,703180000,21.97,,,,Maintained,21.97,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
META,Robert Vinall,83313000,21.77,"Add, Reduce",Add 6.77%; Reduce 2.43%,"Q1 2026, Q4 2025",Reduced,21.77,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
YETI,Glenn Welling,65280000,21.52,"Reduce, Reduce",Reduce 12.23%; Reduce 6.31%,"Q1 2026, Q4 2025",Reduced,21.52,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
V,John Armitage,1463159000,14.13,"Add, Add, Add",Add 3.74%; Add 25.68%; Add 37.24%,"Q2 2026, Q1 2026, Q4 2025",Increased,21.195,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ZS,Dennis Hong,28116000,10.51,Buy,Buy,Q1 2026,New High Conviction,21.02,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
