ticker,company_name,current_price,manager,total_value,portfolio_pct,risk_level,_analysis_type,_generated,_periods,_window_quarters
APTV,Aptiv PLC,44.76,Alex Roepers,27857000,14.51,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
APP,Applovin Corp.,312.06,Pat Dorsey,226347000,14.5,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
HGV,Hilton Grand Vacations Inc.,42.41,Clifford Sosin,272683000,14.48,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,589.31,Guy Spier - Aquamarine Capital,20544000,14.26,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,379.37,John Armitage,1463159000,14.13,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BAYRY,Bayer Ag Sponsored ADR,14.02,Kahn Brothers Group,89308000,14.12,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,379.37,ValueAct Capital,794682000,14.1,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TRMD,Torm Plc,32.81,Howard Marks,524261000,13.87,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
OKTA,Okta Inc.,173.04,Dennis Hong,32031000,13.8,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
IONS,Ionis Pharmaceuticals Inc.,60.36,Tweedy Browne,180806000,13.7,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,335.41,Steven Check,235944000,13.6,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
EPD,Enterprise Products Partners LP,38.82,Bruce Berkowitz,200555000,13.46,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
KEX,Kirby Corp.,141.86,Alex Roepers,25386000,13.22,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
LAD,Lithia Motors Inc.,367.32,David Abrams,723475000,13.2,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GIL,Gildan Activewear Inc.,52.13,Bryan Lawrence,35175000,13.1,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Berkshire Hathaway CL A,756650.01,Josh Tarasoff,47178000,12.95,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
KHC,Kraft Heinz Co.,25.67,Prem Watsa,337633000,12.8,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CCL,Carnival Corp.,23.89,Sarah Ketterer,1176816000,12.78,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
IBKR,Interactive Brokers Group Inc.,97.29,Robert Vinall,48837000,12.75,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
UBER,Uber Technologies Inc.,75.65,Bill Ackman,2476979000,12.72,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TDG,TransDigm Group Inc.,1171.74,Triple Frond Partners,141921000,12.67,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
EXE,Expand Energy Corp.,98.16,Howard Marks,477606000,12.64,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BN,Brookfield Corp.,41.22,Bill Ackman,2448118000,12.58,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,ValueAct Capital,701125000,12.44,High,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
